Name,YYYYMM,Average of Volume,Average of Market Cap
bitcoin,201702,177019375,18493650000
bitcoin,201703,350724387.1,18376880645
bitcoin,201704,325248266.7,19492310000
bitcoin,201705,1105221194,30476796774
bitcoin,201706,1482604700,43120143333
bitcoin,201707,1052256677,41277312903
bitcoin,201708,2049936032,63067309677
bitcoin,201709,1856698300,67543110000
bitcoin,201710,1871269613,87984983871
bitcoin,201711,4691167000,1.28228E+11
bitcoin,201712,13236661290,2.54097E+11
bitcoin,201801,13427350323,2.22001E+11
bitcoin,201802,8535896500,1.53518E+11
bitcoin_cash,201707,752150,0
bitcoin_cash,201708,552282025.8,7345208387
bitcoin_cash,201709,377104433.3,8299193000
bitcoin_cash,201710,350389774.2,5938461935
bitcoin_cash,201711,2167465500,18395094000
bitcoin_cash,201712,2080472194,35843335484
bitcoin_cash,201801,1362710839,36432380645
bitcoin_cash,201802,778542400,21744890000
bitconnect,201702,85829.625,4129337.5
bitconnect,201703,224435.2258,10368295.81
bitconnect,201704,604486.7667,47933293.33
bitconnect,201705,825924.9355,67380706.45
bitconnect,201706,2188104.667,298271166.7
bitconnect,201707,3042825.161,378536548.4
bitconnect,201708,6288653.613,657354903.2
bitconnect,201709,8325719.333,813582366.7
bitconnect,201710,12453191.94,1299236129
bitconnect,201711,23419740,721696566.7
bitconnect,201712,28904948.39,1703885419
bitconnect,201801,15098385.68,1242302981
bitconnect,201802,524699.45,40395305
dash,201702,5980961.25,177342250
dash,201703,34171304.19,537114483.9
dash,201704,17266968,512514300
dash,201705,29731990.32,737257258.1
dash,201706,50445233.33,1222752000
dash,201707,44883261.29,1339995645
dash,201708,60542519.35,1871118710
dash,201709,50924226.67,2501023000
dash,201710,42111277.42,2261115806
dash,201711,163527456.7,3324682333
dash,201712,272451741.9,7678183548
dash,201801,167663164.5,7503097097
dash,201802,100261565,4925248000